sentence,emotion,cleaned_text
I'm beyond frustrated with this traffic jam already.,anger,i'm beyond frustrated with this traffic jam already.
My anger level is through the roof today somehow.,anger,my anger level is through the roof today somehow.
I feel like screaming at everyone right now honestly.,anger,i feel like screaming at everyone right now honestly.
This is literally the worst day of my life.,anger,this is literally the worst day of my life.
My day was ruined by that one annoying person.,anger,my day was ruined by that one annoying person.
I feel so annoyed by this endless paperwork.,anger,i feel so annoyed by this endless paperwork.
"Ugh, I hate it when people don't listen to me.",anger,"ugh, i hate it when people don't listen to me."
This situation is really getting on my nerves today.,anger,this situation is really getting on my nerves today.
I'm so tired of dealing with this drama again already.,anger,i'm so tired of dealing with this drama again already.
That comment really irritated me for some reason.,anger,that comment really irritated me for some reason.
I feel pretty upset about what just happened at work.,anger,i feel pretty upset about what just happened at work.
My mood is being ruined by this stupid weather outside.,anger,my mood is being ruined by this stupid weather outside.
I'm really fed up with this slow internet connection today.,anger,i'm really fed up with this slow internet connection today.
My boss is being super unreasonable again today.,anger,my boss is being super unreasonable again today.
I'm so annoyed with my sister's constant questions.,anger,i'm so annoyed with my sister's constant questions.
This project is stressing me out big time today.,anger,this project is stressing me out big time today.
I feel really upset about what happened last night.,anger,i feel really upset about what happened last night.
Why do people always cut me off in line?,anger,why do people always cut me off in line?
"Ugh, my internet connection is driving me crazy.",anger,"ugh, my internet connection is driving me crazy."
I'm fed up with all these annoying telemarketers calls.,anger,i'm fed up with all these annoying telemarketers calls.
My roommate's mess is really getting on my nerves.,anger,my roommate's mess is really getting on my nerves.
I'm seriously annoyed at how slow this line is moving.,anger,i'm seriously annoyed at how slow this line is moving.
My boss is being super annoying today again.,anger,my boss is being super annoying today again.
I'm so done with this project already.,anger,i'm so done with this project already.
Today has been a complete waste of time so far.,anger,today has been a complete waste of time so far.
I'm getting really fed up with these errors constantly.,anger,i'm getting really fed up with these errors constantly.
My neighbor's noise is driving me crazy tonight.,anger,my neighbor's noise is driving me crazy tonight.
I feel like screaming at this stupid computer screen.,anger,i feel like screaming at this stupid computer screen.
I'm totally annoyed with my sibling right now honestly.,anger,i'm totally annoyed with my sibling right now honestly.
This day has been one huge disappointment after another.,anger,this day has been one huge disappointment after another.
I'm really upset about what happened last night still.,anger,i'm really upset about what happened last night still.
I feel frustrated with this situation honestly.,anger,i feel frustrated with this situation honestly.
Today has been a pretty terrible day so far.,anger,today has been a pretty terrible day so far.
My roommate is being super inconsiderate again.,anger,my roommate is being super inconsiderate again.
I'm getting really angry about this whole thing.,anger,i'm getting really angry about this whole thing.
This situation is really starting to infuriate me.,anger,this situation is really starting to infuriate me.
I feel so irritated with the way things are going.,anger,i feel so irritated with the way things are going.
My day just got ruined by one stupid mistake.,anger,my day just got ruined by one stupid mistake.
"I'm so angry at you right now, seriously.",anger,"i'm so angry at you right now, seriously."
This day has been a total disaster already.,anger,this day has been a total disaster already.
I hate when people do that to me.,anger,i hate when people do that to me.
"I'm furious about what just happened, ugh.",anger,"i'm furious about what just happened, ugh."
I don't even want to talk to him right now.,anger,i don't even want to talk to him right now.
"This is so infuriating, I just want to scream.",anger,"this is so infuriating, i just want to scream."
I'm beyond frustrated with this stupid project.,anger,i'm beyond frustrated with this stupid project.
I'm literally shaking with anger right now.,anger,i'm literally shaking with anger right now.
"My anger is boiling over, I need a break.",anger,"my anger is boiling over, i need a break."
I'm so annoyed with this traffic jam right now.,anger,i'm so annoyed with this traffic jam right now.
"My boss is really frustrating me today, ugh.",anger,"my boss is really frustrating me today, ugh."
I'm getting pretty fed up with this situation.,anger,i'm getting pretty fed up with this situation.
"This homework is really pissing me off, honestly.",anger,"this homework is really pissing me off, honestly."
My day is being ruined by this stupid mistake.,anger,my day is being ruined by this stupid mistake.
I'm feeling really irritated with my roommate right now.,anger,i'm feeling really irritated with my roommate right now.
"This is so unfair, it's really annoying me.",anger,"this is so unfair, it's really annoying me."
"I'm getting angry about this whole thing, seriously.",anger,"i'm getting angry about this whole thing, seriously."
"My patience is wearing thin with this situation, ugh.",anger,"my patience is wearing thin with this situation, ugh."
I'm literally fuming right now at this situation.,anger,i'm literally fuming right now at this situation.
I'm so done with this stupid traffic jam.,anger,i'm so done with this stupid traffic jam.
I'm furious at what just happened at work.,anger,i'm furious at what just happened at work.
"This is ridiculous, I'm so angry right now.",anger,"this is ridiculous, i'm so angry right now."
"I hate my life today, it's so unfair.",anger,"i hate my life today, it's so unfair."
I'm fed up with these constant lies and excuses.,anger,i'm fed up with these constant lies and excuses.
My anger level is off the charts today.,anger,my anger level is off the charts today.
"I'm seething with rage, can't even talk.",anger,"i'm seething with rage, can't even talk."
I'm beyond furious at what you just did.,anger,i'm beyond furious at what you just did.
Can't believe my team lost again today.,anger,can't believe my team lost again today.
I'm really annoyed with my boss's attitude.,anger,i'm really annoyed with my boss's attitude.
My day just got ruined by this news.,anger,my day just got ruined by this news.
I'm fed up with these constant delays.,anger,i'm fed up with these constant delays.
This homework is really pissing me off now.,anger,this homework is really pissing me off now.
I'm getting sick of all these bills piling up.,anger,i'm getting sick of all these bills piling up.
Why do I always get stuck with the worst tasks?,anger,why do i always get stuck with the worst tasks?
I'm so angry that I wasted my whole morning.,anger,i'm so angry that i wasted my whole morning.
I'm so annoyed with this traffic right now honestly,anger,i'm so annoyed with this traffic right now honestly
"Ugh, my boss is being super unfair again today",anger,"ugh, my boss is being super unfair again today"
I'm really frustrated with this situation right now,anger,i'm really frustrated with this situation right now
Can't believe my neighbor is being so loud again,anger,can't believe my neighbor is being so loud again
My sister is driving me crazy right now seriously,anger,my sister is driving me crazy right now seriously
I'm getting really angry about this whole thing now,anger,i'm getting really angry about this whole thing now
This day has been a total disaster so far,anger,this day has been a total disaster so far
I'm so irritated with this slow internet connection,anger,i'm so irritated with this slow internet connection
I'm beyond annoyed with these constant delays,anger,i'm beyond annoyed with these constant delays
My roommate is being super annoying today again.,anger,my roommate is being super annoying today again.
I feel angry about what happened last night honestly.,anger,i feel angry about what happened last night honestly.
This customer service rep isn't helping me much.,anger,this customer service rep isn't helping me much.
My boss has been stressing me out all morning.,anger,my boss has been stressing me out all morning.
The internet connection here is ridiculously slow ughhh!,anger,the internet connection here is ridiculously slow ughhh!
I don't appreciate their attitude towards me today either.,anger,i don't appreciate their attitude towards me today either.
My favorite store ran out of my size again seriously.,anger,my favorite store ran out of my size again seriously.
I got a pretty ridiculous parking ticket yesterday arghh!,anger,i got a pretty ridiculous parking ticket yesterday arghh!
My sibling is not pulling their weight in household chores,anger,my sibling is not pulling their weight in household chores
I'm getting a bit frustrated with this traffic jam.,anger,i'm getting a bit frustrated with this traffic jam.
"Ugh, my morning coffee was way too weak today.",anger,"ugh, my morning coffee was way too weak today."
"My sister's been bugging me all day, it's annoying.",anger,"my sister's been bugging me all day, it's annoying."
I'm pretty irritated with this slow internet connection.,anger,i'm pretty irritated with this slow internet connection.
Why did they have to cancel my favorite show?,anger,why did they have to cancel my favorite show?
"My day's been pretty disappointing so far, honestly.",anger,"my day's been pretty disappointing so far, honestly."
Can't believe I forgot my lunch at home again!,anger,can't believe i forgot my lunch at home again!
This homework assignment is such a pain to do!,anger,this homework assignment is such a pain to do!
My phone's battery life is really frustrating me lately.,anger,my phone's battery life is really frustrating me lately.
I'm so annoyed with this traffic right now honestly.,anger,i'm so annoyed with this traffic right now honestly.
My boss is really pissing me off today again.,anger,my boss is really pissing me off today again.
I feel super frustrated with this situation at work.,anger,i feel super frustrated with this situation at work.
"This noise is driving me crazy, seriously stop it.",anger,"this noise is driving me crazy, seriously stop it."
I'm really fed up with these people's attitude problems.,anger,i'm really fed up with these people's attitude problems.
This day just keeps getting worse and worse somehow.,anger,this day just keeps getting worse and worse somehow.
I'm so done with this ridiculous homework assignment already.,anger,i'm so done with this ridiculous homework assignment already.
Can't believe my neighbor's dog is barking again loudly.,anger,can't believe my neighbor's dog is barking again loudly.
I'm getting really irritated with these slow internet speeds.,anger,i'm getting really irritated with these slow internet speeds.
My friend's constant lateness is really infuriating me today.,anger,my friend's constant lateness is really infuriating me today.
Can't believe my team lost the game again today.,anger,can't believe my team lost the game again today.
I'm so annoyed with my neighbor's loud music always.,anger,i'm so annoyed with my neighbor's loud music always.
Today was a total disaster from start to finish honestly.,anger,today was a total disaster from start to finish honestly.
I feel really upset about what happened last night still.,anger,i feel really upset about what happened last night still.
My sister is being super annoying and it's getting old.,anger,my sister is being super annoying and it's getting old.
I'm fed up with these constant delays and excuses always.,anger,i'm fed up with these constant delays and excuses always.
I had the worst argument with my friend this morning.,anger,i had the worst argument with my friend this morning.
I'm really disappointed in how things turned out today sadly.,anger,i'm really disappointed in how things turned out today sadly.
I'm so angry that my flight got cancelled again today.,anger,i'm so angry that my flight got cancelled again today.
I'm so annoyed with my sister right now.,anger,i'm so annoyed with my sister right now.
My day just got ruined by this traffic jam.,anger,my day just got ruined by this traffic jam.
I feel really frustrated with this situation today.,anger,i feel really frustrated with this situation today.
I'm getting pretty fed up with this noise.,anger,i'm getting pretty fed up with this noise.
My boss is being super unreasonable again.,anger,my boss is being super unreasonable again.
I'm so angry about what happened last night.,anger,i'm so angry about what happened last night.
I feel like screaming at these people sometimes.,anger,i feel like screaming at these people sometimes.
I'm so done with this stupid bureaucracy already.,anger,i'm so done with this stupid bureaucracy already.
My boss is being super unfair again today.,anger,my boss is being super unfair again today.
This assignment is stressing me out so much.,anger,this assignment is stressing me out so much.
I'm getting tired of being ignored like this.,anger,i'm getting tired of being ignored like this.
This noise is driving me crazy right now too.,anger,this noise is driving me crazy right now too.
I'm so sick of these long lines everywhere always.,anger,i'm so sick of these long lines everywhere always.
My friend's drama is exhausting me lately too,anger,my friend's drama is exhausting me lately too
I'm so frustrated with this situation right now honestly,anger,i'm so frustrated with this situation right now honestly
My roommate left their dirty dishes again seriously,anger,my roommate left their dirty dishes again seriously
I feel like nobody listens to me anymore,anger,i feel like nobody listens to me anymore
Today was just a really bad day for me,anger,today was just a really bad day for me
I'm still mad about what you said last night,anger,i'm still mad about what you said last night
I hate when people don't respect my time,anger,i hate when people don't respect my time
My boss is being super unreasonable today ugh,anger,my boss is being super unreasonable today ugh
I feel like I've had it up to here already,anger,i feel like i've had it up to here already
I just can't believe what happened at work today,anger,i just can't believe what happened at work today
"Today has been a total disaster so far, ugh!",anger,"today has been a total disaster so far, ugh!"
"Someone just cut me off in traffic, great.",anger,"someone just cut me off in traffic, great."
I'm so annoyed with this slow internet connection.,anger,i'm so annoyed with this slow internet connection.
Why do people always have to be so rude?,anger,why do people always have to be so rude?
"My day just got ruined by bad news, awesome.",anger,"my day just got ruined by bad news, awesome."
I'm seriously fed up with this noise pollution outside.,anger,i'm seriously fed up with this noise pollution outside.
Can't believe someone ate the last slice of pizza!,anger,can't believe someone ate the last slice of pizza!
My boss is being super annoying today already.,anger,my boss is being super annoying today already.
I'm really irritated with my phone's battery life.,anger,i'm really irritated with my phone's battery life.
"Today is just one of those annoying days, ugh.",anger,"today is just one of those annoying days, ugh."
I'm so done with this project at work already.,anger,i'm so done with this project at work already.
I'm getting really annoyed with these spam calls lately.,anger,i'm getting really annoyed with these spam calls lately.
"This rain is ruining my whole day, great.",anger,"this rain is ruining my whole day, great."
I'm so fed up with this homework assignment tonight.,anger,i'm so fed up with this homework assignment tonight.
"My internet connection is being super slow today, argh.",anger,"my internet connection is being super slow today, argh."
I'm getting really frustrated with this traffic jam.,anger,i'm getting really frustrated with this traffic jam.
I'm so fed up with this broken printer already.,anger,i'm so fed up with this broken printer already.
"Ugh, my day just got ruined by bad news.",anger,"ugh, my day just got ruined by bad news."
I hate when people don't listen to me properly.,anger,i hate when people don't listen to me properly.
This noise is really getting on my nerves now.,anger,this noise is really getting on my nerves now.
My neighbor's music is way too loud tonight.,anger,my neighbor's music is way too loud tonight.
I'm getting irritated with these constant delays now.,anger,i'm getting irritated with these constant delays now.
This homework is so pointless and annoying too much work.,anger,this homework is so pointless and annoying too much work.
Can't believe my favorite store just ran out stock.,anger,can't believe my favorite store just ran out stock.
I am beyond furious with him right now seriously.,anger,i am beyond furious with him right now seriously.
My boss is literally the worst person ever today.,anger,my boss is literally the worst person ever today.
I'm so fed up with this traffic jam already.,anger,i'm so fed up with this traffic jam already.
Can't believe he just lied to my face again.,anger,can't believe he just lied to my face again.
I'm still fuming about what happened last night ugh.,anger,i'm still fuming about what happened last night ugh.
This day has been a complete disaster so far obviously.,anger,this day has been a complete disaster so far obviously.
Don't even get me started on that stupid policy.,anger,don't even get me started on that stupid policy.
I'm literally shaking with rage about the news today.,anger,i'm literally shaking with rage about the news today.
Just had it out with my roommate again great.,anger,just had it out with my roommate again great.
Why do people always have to be so rude seriously?,anger,why do people always have to be so rude seriously?
My day is ruined because of one bad meeting.,anger,my day is ruined because of one bad meeting.
"Ugh, I just spilled coffee all over my shirt again!",anger,"ugh, i just spilled coffee all over my shirt again!"
I feel so annoyed by my neighbor's loud music today,anger,i feel so annoyed by my neighbor's loud music today
"I just got into another argument with my sister, ugh",anger,"i just got into another argument with my sister, ugh"
"My computer crashed and lost all my work, great",anger,"my computer crashed and lost all my work, great"
I'm getting really tired of all these fake promises,anger,i'm getting really tired of all these fake promises
I just wasted two hours on that stupid project,anger,i just wasted two hours on that stupid project
I feel disrespected by the way he spoke to me,anger,i feel disrespected by the way he spoke to me
My boss is being super annoying today somehow.,anger,my boss is being super annoying today somehow.
"Ugh, I hate it when people are late to meetings.",anger,"ugh, i hate it when people are late to meetings."
Today was a really bad day for me honestly.,anger,today was a really bad day for me honestly.
Someone just cut me off in traffic - ugh!,anger,someone just cut me off in traffic ugh!
I'm getting so annoyed with this slow internet speed.,anger,i'm getting so annoyed with this slow internet speed.
Why does everything have to go wrong today?,anger,why does everything have to go wrong today?
This weather is ruining my entire weekend vibe.,anger,this weather is ruining my entire weekend vibe.
Can't believe I got a parking ticket again today.,anger,can't believe i got a parking ticket again today.
Why won't anyone just listen to me for once?!,anger,why won't anyone just listen to me for once?!
I'm so furious about what you did to me.,anger,i'm so furious about what you did to me.
"My anger is boiling over right now, ugh.",anger,"my anger is boiling over right now, ugh."
I feel completely enraged by this situation.,anger,i feel completely enraged by this situation.
Today was the worst day of my life ever.,anger,today was the worst day of my life ever.
"I'm beyond angry, can't even talk right now.",anger,"i'm beyond angry, can't even talk right now."
"This is infuriating, can't believe it's happening again.",anger,"this is infuriating, can't believe it's happening again."
My blood pressure is through the roof right now.,anger,my blood pressure is through the roof right now.
"You're really pissing me off, stop it already.",anger,"you're really pissing me off, stop it already."
"This situation makes me so incredibly angry, ugh.",anger,"this situation makes me so incredibly angry, ugh."
I am literally seething with rage right now.,anger,i am literally seething with rage right now.
My day just got ruined by that idiot.,anger,my day just got ruined by that idiot.
I feel like punching someone today honestly.,anger,i feel like punching someone today honestly.
This traffic is making me incredibly angry.,anger,this traffic is making me incredibly angry.
I'm fed up with this situation already.,anger,i'm fed up with this situation already.
That person just makes my blood boil.,anger,that person just makes my blood boil.
I'm still fuming about what happened yesterday.,anger,i'm still fuming about what happened yesterday.
I hate it when people do that to me.,anger,i hate it when people do that to me.
My patience is wearing thin today seriously.,anger,my patience is wearing thin today seriously.
I'm getting frustrated with this traffic jam already.,anger,i'm getting frustrated with this traffic jam already.
"Ugh, my day is off to a bad start.",anger,"ugh, my day is off to a bad start."
My boss is really pissing me off today though.,anger,my boss is really pissing me off today though.
I hate it when people cut in line like that.,anger,i hate it when people cut in line like that.
This headache is ruining my whole day basically.,anger,this headache is ruining my whole day basically.
I'm a bit irritated with my sibling right now tbh,anger,i'm a bit irritated with my sibling right now tbh
"Maybe it's just Monday, but everything annoys me,",anger,"maybe it's just monday, but everything annoys me,"
This work project has been such a pain to deal,anger,this work project has been such a pain to deal
I am low-key mad at my best friend atm,anger,i am lowkey mad at my best friend atm
I'm really frustrated with this stupid traffic jam.,anger,i'm really frustrated with this stupid traffic jam.
Someone just cut me off in line again.,anger,someone just cut me off in line again.
I hate it when plans get changed last minute.,anger,i hate it when plans get changed last minute.
This assignment is way more work than expected.,anger,this assignment is way more work than expected.
People need to stop being so insensitive sometimes.,anger,people need to stop being so insensitive sometimes.
I just spilled coffee all over my shirt again.,anger,i just spilled coffee all over my shirt again.
My neighbor's music is ridiculously loud tonight again.,anger,my neighbor's music is ridiculously loud tonight again.
.I got stuck with a huge unexpected bill today.,anger,.i got stuck with a huge unexpected bill today.
Some drivers are literally impossible to deal with daily,anger,some drivers are literally impossible to deal with daily
I'm really annoyed with this traffic right now,anger,i'm really annoyed with this traffic right now
My boss is driving me crazy today,anger,my boss is driving me crazy today
I'm so frustrated with this stupid project,anger,i'm so frustrated with this stupid project
"Ugh, my day just got worse somehow",anger,"ugh, my day just got worse somehow"
I hate it when people don't listen to me,anger,i hate it when people don't listen to me
This homework is really pissing me off now,anger,this homework is really pissing me off now
My sibling is being super annoying today,anger,my sibling is being super annoying today
I'm getting so sick of these spam calls,anger,i'm getting so sick of these spam calls
Why does everything have to be so hard?,anger,why does everything have to be so hard?
This morning has been a total disaster,anger,this morning has been a total disaster
I'm really annoyed with this traffic right now.,anger,i'm really annoyed with this traffic right now.
My day was ruined by that stupid meeting.,anger,my day was ruined by that stupid meeting.
I feel frustrated with this assignment due tomorrow.,anger,i feel frustrated with this assignment due tomorrow.
I'm so done with this slow internet connection.,anger,i'm so done with this slow internet connection.
