text,label
"i'm glad it's almost the weekend, finally!",gratitude
i care about them way more than expected,love
just finished the project and it feels amazing!,relief
i'm feeling pretty affectionate towards you today.,love
i'm shocked by how much i love this song now.,surprise
"my day has been pretty frustrating so far, honestly",frustration
feeling rather drained after that long commute home today.,happiness
that movie was way overhyped if you ask me honestly.,disappointment
my singing voice is way worse than i thought.,embarrassment
feeling pretty confident about my public speaking skills now,pride
my dog always knows how to make me smile somehow.,gratitude
this pain feels like it's killing me.,sadness
my mind is racing and can't sleep tonight.,anxiety
"everything is going really well today, definitely smiling.",happiness
i'm getting pretty fed up with these delays already.,anger
the smell of freshly brewed coffee is absolutely delightful today.,excitement
i'm so hopeful about our future together now,hope
i'm falling for this guy pretty hard actually.,love
my phone battery dies way too fast always.,frustration
i feel hopeful about my future for once today.,hope
my day just got brighter when you texted back,love
meeting old friends again is definitely pure bliss tonight.,happiness
"i feel like i can breathe again, thank goodness.",relief
my day just got a lot more interesting suddenly!,surprise
i'm getting pretty stressed about this deadline looming near,anxiety
this sunny day makes me feel rather uplifted.,happiness
finally got all my tasks done for the day!,relief
my kid just won the school science fair yay,pride
maybe everything will fall into place somehow,hope
thankfully i don't have any exams this week,relief
just got a nice compliment on my art thanks.,pride
i was really looking forward to that event.,disappointment
a thrilling possibility had just occurred to her suddenly.,excitement
i'm sorry for being late to our meeting.,guilt
i regret saying that to my friend earlier today,guilt
my mind is blown by this new information now.,surprise
i just saw a bug in my apartment again ugh,disgust
everything is going somewhat wonderfully right now.,happiness
my socks are literally covered in sweat right now.,disgust
"just spilled coffee on my shirt, great start.",embarrassment
today has been pretty overwhelming for me so far honestly..,fear
i felt rather joyful when i got the news.,happiness
i shouldn't have spent so much money on lunch today.,guilt
"i need some space before i snap,",anger
i'm so glad that's finally over and done.,relief
i adore our late night conversations so much more now,love
"ugh, my phone battery is dying on me again.",frustration
i get jealous when you ignore my texts.,jealousy
i'm so done with these annoying spam calls already.,frustration
"everything's going kinda smoothly today, so far anyway.",happiness
i'm really confused about these instructions honestly.,confusion
this conversation is confusing me so much right now,confusion
she looked really carefree in those old photos.,happiness
her smile was slightly brighter than the sunshine.,happiness
my skin is crawling from all these cockroaches.,disgust
i feel kinda scared about the dark outside right now.,fear
"finally got that project done, feels like weight lifted",relief
i just can't shake off this uneasy feeling inside,anxiety
i feel a bit overwhelmed with school work.,sadness
can't believe my favorite store just ran out stock.,anger
6 being ignored by people hurts so much.,loneliness
this promotion makes me feel absolutely on top.,happiness
i'm starting to feel like i'm losing you,jealousy
i feel accomplished after finishing my project,pride
i'm cautiously optimistic about this new plan,hope
the smell of freshly baked cookies is utterly thrilling today.,excitement
i've got a soft spot for that special someone,love
"i'm missing my friends right now, it's true.",loneliness
"today was actually kind of awesome, surprisingly enough.",hope
i had an amazing time at the beach this weekend!,gratitude
this person is making my life so much better.,love
i don't like driving in this heavy rain at all.,fear
my exam results are in and i passed thank god.,relief
i felt happiness when i saw my friends again.,happiness
thankful isn't enough my heart is overflowing right now!,gratitude
my actions were really hurtful and selfish,guilt
traffic is moving way too slowly for me.,frustration
this party is going rather wonderfully tonight somehow.,happiness
"that's kind of crazy, i've never seen that before.",surprise
feeling extremely drained after that long project meeting yesterday,happiness
"today was perfect, thanks to my best friends.",gratitude
"what's happening with our plans, i'm confused.",confusion
"i'm missing my family right now, wish they were here.",loneliness
this storm outside is making me feel really uneasy,fear
my outfit is really awkward today i think.,embarrassment
i feel really lucky to have such a job.,gratitude
their smile was really contagious yesterday afternoon somehow.,happiness
i'm getting a little nervous about the future lately,anxiety
"this doesn't add up in my head, what's wrong?",confusion
i am literally seething with rage at him,anger
just nailed my presentation and feeling very proud.,happiness
everything's going fairly smoothly at the office today.,happiness
"my team won the game, i'm so happy for us.",pride
"i feel absolutely livid right now, seriously.",anger
i miss my family a lot right now.,sadness
"today was a really quiet day, kinda boring.",loneliness
i'm hoping this new project will turn out well.,hope
my stress levels are getting out of control today.,anxiety
i just can't stop thinking about what happened,sadness
never knew my brother could play the guitar so well.,surprise
"life is good, thanks to people like you in it.",gratitude
i'm totally repulsed by his selfish behavior now.,disgust
this is mortifying and i hate my life right now.,embarrassment
why was everyone smiling during the staff party yesterday?,happiness
"everything's falling into place lately, and it feels amazing.",happiness
"i feel so comfortable around you, it's great",love
this weather is making me feel kinda icky.,disgust
it's been weeks since i last had a real conversation.,loneliness
today was amazing just got engaged to my love!,pride
i love being around you all the time honestly.,love
most emotional rewritten sentences need adjusted in structure,disappointment
i'm dying for some human connection tonight.,loneliness
my mind is a total blank at the moment.,confusion
i hate when people cut in front of me,anger
broke my personal record in the marathon yesterday wow,pride
i'm struggling to find motivation today somehow.,sadness
i owe everything to her she saved me basically.,gratitude
"everything is going rather wonderfully today, thank you!",happiness
"i love spending time with you, it's my favorite.",love
my skin is crawling just being near him right now.,disgust
i don't think i can do this anymore today.,sadness
today's stress is eating away at me slowly,anxiety
feeling super isolated and it's freaking me out.,loneliness
"my boss is being ridiculously unreasonable today, ugh!",frustration
10!i keep messing up simple tasks for some reason,frustration
feeling anxious because of this big meeting today.,happiness
"today was better than yesterday, that's progress right?",hope
my schedule is all messed up this week.,confusion
"now that it's done, i feel pretty guilty about it.",guilt
why do they always get the attention from you?,jealousy
my schedule looks pretty packed this week already,anxiety
i'm fed up with these annoying spam calls already.,anger
things might start looking up for me now soon.,hope
"my girlfriend's friend is really pretty, i guess",jealousy
the traffic isn't as bad as i expected today somehow.,surprise
i'm really surprised by how well that worked out,surprise
i'm doing better at this than i thought possible,pride
something weird is going on with my computer.,confusion
the smell of freshly baked cookies is absolutely wonderful!,excitement
my mind keeps racing with worstcase scenarios lately too much!,anxiety
my team won the game and i'm thrilled about it.,pride
i'm crossing my fingers for a good outcome tonight.,hope
my sink is clogged with gross stuff again.,disgust
today's events are making me super anxious already.,anxiety
went for a run and it really cleared my head,relief
my apology text didn't seem to help at all,guilt
i'm slightly regretting my decision to stay home.,guilt
i'm surprised how much fun i'm having today.,surprise
i'm so mortified about what i did last night,embarrassment
the weekend is rather exciting for me so far.,happiness
this injustice has me seeing red literally,anger
8 forgot to respond to sarah's text from yesterday,guilt
my conscience is eating away at me tonight.,guilt
"i'm literally dying from embarrassment right now, help me",embarrassment
i just found out i got the job nice!,surprise
i feel pretty disappointed in myself right now,disappointment
this rainy weather is ruining my whole day.,anger
my laziness is getting the best of me now,guilt
i feel like i can relax for the first time.,relief
sometimes i just want someone to listen to me vent.,loneliness
"today was a letdown, to be honest.",disappointment
i'm getting really tired of waiting in line,frustration
totally thrilled with my new job opportunity today.,happiness
i feel kinda disconnected from everyone right now,loneliness
i really think this could be the start of something!,hope
i ran five miles without stopping today yay me!,pride
"just had a great conversation, feeling lifted up.",relief
just found out i have to work on saturday ugh.,disgust
i'm so over these annoying mosquitoes outside.,disgust
i don't understand why this isn't working out.,confusion
i'm starting to feel like i have no one nearby.,loneliness
"suddenly, the entire stadium erupted in a deafening cheer.",excitement
my little brother is actually starting to grow up now.,surprise
i regret not spending more time with family recently.,guilt
your amazing vacation photos are making me envious.,jealousy
i'm keeping my fingers crossed for the best outcome.,hope
my boss gave me an extra day off suddenly.,surprise
i'm starting to feel like nobody really cares about me.,loneliness
nobody's replied to my messages all day,loneliness
your post made me feel kinda inadequate today.,jealousy
my anxiety is kicking in today for some reason,fear
i feel good about helping my friend out yesterday.,pride
this promotion is utterly beyond my wildest dreams already!,happiness
i feel a little sad about what happened.,sadness
"everyone loves my sister more than me, it feels like.",jealousy
had an amazing time at dinner thanks to everyone involved.,gratitude
today was a great day and i'm feeling pretty proud,pride
my day is going really well so far thankfully.,happiness
"why does my internet keep disconnecting, seriously?",frustration
i feel really connected to him lately somehow.,love
"you're an amazing partner, i don't say it enough!",gratitude
i'm really stressed about this upcoming exam tomorrow.,anxiety
my life has been going relatively smoothly lately thankfully.,gratitude
everything feels so right in my little world today.,happiness
"i just can't even right now, wow.",surprise
this uncertainty is making me pretty uncomfortable right now,anxiety
this whole situation just feels really off to me.,disgust
i'm hoping for a better day tomorrow.,hope
today was pretty terrifying at times for me.,fear
i had worst service ever at new restaurant,disgust
my internet connection is driving me crazy,frustration
i wish i had been more supportive of you yesterday.,guilt
i have a good feeling about tonight's game,hope
i'm so let down by my team's performance today.,disappointment
i have no idea what's going on right now.,confusion
i'm thankful for a comfortable place to live.,gratitude
my day has been a total disappointment so far.,sadness
i just want someone to share my thoughts with honestly?,loneliness
"my kitchen is a mess, it's so gross.",disgust
i'm feeling bad for snapping at my sibling earlier,guilt
witnessing her first smile was completely exhilarating for everyone.,happiness
just had a pretty meh weekend by myself again.,loneliness
why won't this stupid thing just work already?!,frustration
i'm having second thoughts about going to that party tonight,fear
the countdown has finally begun for tonight's concert extravaganza.,excitement
i feel so possessive and angry all of a sudden.,jealousy
my family is being super supportive.,gratitude
i don't want to get stuck in this traffic jam,fear
i nailed that presentation feeling confident now.,pride
this week is definitely shaping up to be amazing already.,happiness
this could be the start of something good finally.,hope
i don't like the sound of that at all honestly.,fear
i'm literally gagging on this awful coffee taste.,disgust
i'm totally crushing on you at the moment.,love
i feel kinda overwhelmed by all these notifications honestly...,anxiety
"my stress level just dropped significantly, thank god!",relief
"tomorrow has to be a better day than today, right?",hope
skipping class today was not my best idea ever.,guilt
feeling a bit bad for being late again today.,guilt
that movie was way better than expected.,surprise
"this rain is totally ruining my weekend plans, ugh.",frustration
this isn't how i envisioned my day at all.,disappointment
literally walking on air after seeing my crush smile.,happiness
everything feels amazing after that incredible beach vacation.,happiness
i nailed that job interview this morning yay,pride
today was a huge step in the right direction.,hope
i feel bad for forgetting your birthday again,guilt
just got the news i was waiting for,relief
this expired milk tastes pretty awful to me.,disgust
my roommate left dirty dishes everywhere again ugh,disgust
i feel more positive about my future suddenly,hope
today didn't go as well as expected for me.,disappointment
i feel really relieved the test is done.,relief
every cell in my body is screaming with euphoria!,excitement
"ugh, i'm so stuck on this project at work.",frustration
this moment makes me feel utterly elated beyond words.,happiness
i have a bad feeling about this flight tonight somehow,fear
i'm ashamed of how i reacted to the news yesterday.,guilt
i'm getting tired of always doing the same thing,anger
i feel like i can breathe again after today.,relief
my morning has been totally ruined by that conversation.,anger
my day is going to be a long one.,anxiety
i feel really silly for forgetting my password.,embarrassment
i feel somewhat tired and unmotivated lately,sadness
i hate when people don't respect my time like this,anger
the storm outside is making me super anxious.,fear
seeing my best friend get married was totally surreal.,happiness
i need to wash my hands after touching that thing,disgust
i'm feeling slightly disappointed in myself right now.,disappointment
"this haircut doesn't look great on me, lol.",embarrassment
i'm so humiliated by my own carelessness today.,embarrassment
my plans for today are all messed up now.,confusion
my day is pretty empty without you here.,loneliness
today could be the start of something incredible honestly.,hope
replacedcan someone please explain this to me again now?,confusion
i feel really embarrassed about what i said.,embarrassment
i'm struggling to forgive myself for my mistakes.,guilt
this award is totally because of my dedication honestly.,pride
i've been having some pretty dark thoughts lately too.,fear
"my life is good, and i'm feeling grateful now.",gratitude
my anxiety is spiking and it's hard to breathe.,fear
"i don't know why, but i'm worried about your ex.",jealousy
i'm surprised how much fun i'm having at this party.,surprise
really glad i could reschedule that appointment,relief
i miss having someone to talk to at night sometimes.,loneliness
i'm a bit down about what happened yesterday.,sadness
vmy mom helped me out again today thankfully.,gratitude
i've been procrastinating and it's freaking me out,anxiety
i'm seriously hoping for a miracle right now.,hope
wish i had someone to hang out with tonight.,loneliness
i don't know how people can eat blue cheese dressing.,disgust
having a pet really makes my day brighter somehow,gratitude
this restaurant's food looks pretty unappetizing to me.,disgust
"today is absolutely, utterly, and completely perfect in every way.",happiness
this could be the start of something amazing for me.,hope
my mood has been kind of low all morning too.,sadness
i'm not really sure what's going on in this meeting.,confusion
i have zero clue what to expect next week.,confusion
i'm pretty thankful for this cup of coffee today.,gratitude
"i feel abandoned, no one cares about me.",loneliness
my heart is racing and i feel like crying already.,fear
i'm having some major doubts about my decision.,fear
i feel terrible about hurting her like that.,guilt
"my anxiety is spiking right now, no idea why.",fear
that weird rash on my skin is freaking me out.,disgust
".it's weird being alone on a friday night, right?",loneliness
nobody understands how isolated and sad i feel always,loneliness
she's making my birthday quite unforgettable so far.,happiness
"i feel grateful for this opportunity, it's huge.",gratitude
i think we can make this work out okayish.,hope
"everything's falling into place, feeling very grateful today.",happiness
"my favorite show ended and it's really sad,",sadness
my face is literally burning right now from embarrassment.,embarrassment
this assignment was way more work than necessary,anger
my mistake is all i can think about,guilt
you're literally the best thing that's ever happened.,love
i'm beyond furious about the way i was treated today,anger
i have a minor case of the mondays today.,anxiety
i just finished my project ahead of schedule.,pride
it's been too long since i've had a good chat.,loneliness
the smell of fish is really bothering me today.,disgust
my flight has been delayed and it's freaking me out.,fear
this is a pretty embarrassing situation for me.,embarrassment
8 their life looks way more exciting than mine rn,jealousy
the thought of public speaking gives me chills.,fear
i feel like i can breathe again after that call,relief
i'm feeling really overwhelmed with all this stress.,frustration
today has been one big confusing mess for me,confusion
this coffee tastes really bitter and gross to me.,disgust
.i have a good feeling about what's coming next week..,hope
i'm so embarrassed that i tripped in front of everyone.,embarrassment
i'm so glad i got that off my chest finally.,relief
my expectations were totally shattered this morning.,disappointment
the aroma of freshly baked croissants is utterly captivating.,excitement
my mind is racing and i'm so overwhelmed now.,anxiety
i'm so annoyed with my neighbor's loud music always.,anger
i feel so alone in this huge city.,loneliness
my friend's new haircut is pretty awful honestly.,disgust
everything feels rather bright and beautiful today somehow.,happiness
"this is ridiculous, i'm not going to do it.",anger
my heart feels happy when he's around.,love
",i'm feeling a tad uneasy about trying new foods",fear
this movie is really creeping me out now.,disgust
"feeling kinda lost and alone today, idk why.",sadness
i think i just made a fool of myself,embarrassment
"my bathroom needs cleaning, it's getting gross.",disgust
my weekend plans fell through and it sucks,disappointment
i feel silly for forgetting her birthday last week somehow,embarrassment
i'm getting a bit uneasy with all these strangers around.,fear
i'm getting anxious about this upcoming deadline.,anxiety
i hate it when people don't respond to texts,anger
today has been really positive so far yay,hope
.i've never felt this low in my entire life before,sadness
oh man i'm so embarrassed right now,embarrassment
"everything feels a bit lighter today, strangely happy.",happiness
that phone call was easier than i expected thankfully,relief
totally grateful for this three day weekend ahead,gratitude
"ugh, this traffic is making me feel car sick.",disgust
i feel like i'm missing something important today.,confusion
this new coffee shop just opened near my place.,surprise
finding a perfect coffee shop is a lovely surprise.,excitement
this weather forecast is kind of crazy.,surprise
"not sure why, but this is making me kinda insecure",jealousy
missing my friends on this quiet saturday night.,loneliness
my actions were thoughtless and hurt someone's feelings,guilt
i just got tickets to my favorite concert somehow,surprise
i'm doing alright in my classes this semester too.,pride
this movie is kinda boring me so far.,disgust
i just smelled something foul coming from the fridge ugh.,disgust
my friend's visit was a nice surprise today.,surprise
feeling rather grateful for this wonderful new opportunity.,happiness
i'm thankful it's almost the weekend already honestly.,relief
feeling super guilty about lying to my mom.,guilt
today was better because of our conversation.,love
wish someone was here to keep me company,loneliness
i wish i had someone to share this with honestly,loneliness
rather thrilled to have met someone so likeminded yesterday.,happiness
this smell is making me really uncomfortable.,disgust
i think today is going to be a great day.,hope
"that's pretty cool, didn't see it coming at all.",surprise
"ugh, my stomach's churning just thinking about it now.",disgust
feeling totally lost after that brutal conversation yesterday.,happiness
being with you makes me feel at home somehow.,love
i walked into a doorframe in front of everyone,embarrassment
i'm so mortified about spilling coffee on my shirt again.,embarrassment
i feel like crying all of a sudden.,sadness
this coffee tastes way better than i thought it would.,surprise
"life is literally, absolutely perfect right now beyond words.",happiness
the weekend's outdoor festival is finally just around corner.,excitement
i feel trapped and can't escape my fears.,fear
my loneliness is suffocating me slowly it feels like.,loneliness
i probably should've listened to her advice,guilt
my love for you is insane today.,love
appreciating these gorgeous autumn leaves outside right now,gratitude
i'm seriously repulsed by his rude behavior tonight.,disgust
"i solved a tough problem at work, feeling pretty smart!",pride
you make my day so much better always,love
her smile was clearly infectious in that moment.,happiness
just saw a celebrity on the street totally starstruck!,surprise
the concert last night was quite incredible tonight.,happiness
i'm really proud of my little sister's achievements lately.,pride
my artwork is getting some nice feedback online.,pride
feeling a bit guilty about skipping gym class again.,guilt
i'm so done with this annoying mosquito noise.,disgust
"she glowed with happiness, contagious to everyone nearby.",happiness
so many people saw me fall what embarrassment,embarrassment
i'm really going to miss you when you leave.,sadness
i'm slightly disappointed in this new restaurant's food quality.,disappointment
"my anxiety is getting the best of me today, sadly.",anxiety
i'm feeling slightly irritated with my internet connection now.,frustration
just spent the day with my adorable little niece.,happiness
just nailed that project and feeling kinda on top.,happiness
i'm so anxious about meeting my boyfriend's parents,fear
every cell in my body is screaming with anticipation!,excitement
"my favorite food is on sale today, yay!",surprise
i was looking forward to that and it's cancelled now.,disappointment
i'm starting to feel more positive about my future.,hope
"i crushed my presentation today, totally nailed it.",pride
was her smile the brightest thing i'd ever witnessed?,happiness
my plans fell through and i'm pretty disappointed.,disappointment
i'm filled with selfloathing right now ugh,guilt
"something's been bothering me all morning, i think.",sadness
my world just came crashing down on me.,sadness
my dance moves are definitely not impressive today.,embarrassment
"i'm feeling pretty alone right now, to be honest.",loneliness
"i spilled coffee all over my shirt, nice.",embarrassment
i feel so overwhelmed with all these tasks now,frustration
i feel grateful for this amazing weather outside,gratitude
i'm feeling a bit anxious about the meeting today.,anxiety
it's really unfair what happened to me yesterday morning.,anger
kind of annoyed at myself for procrastinating all day.,guilt
i'm feeling pretty crummy about missing that deadline.,guilt
i don't like the look of those dark clouds outside.,fear
i have no idea what's real and what's not anymore.,confusion
my cooking skills have improved so much recently lol.,pride
every moment with you feels perfect to me.,love
i'm slightly surprised by how well that worked out.,surprise
i'm filled with remorse over how i treated him.,guilt
i feel so left out when he talks to her.,jealousy
feels great to be home from that long trip,relief
didn't expect it to rain on my day off either.,disappointment
i feel kinda sick after eating that burger yesterday.,disgust
it's finally time to start planning our summer roadtrip.,excitement
the crowd erupted in cheers as he took stage.,excitement
i feel frustrated with this project at work today.,anger
my curiosity is slightly piqued by the upcoming concert tonight.,excitement
i'm feeling slightly more optimistic now.,hope
felt incredibly happy when i got the job offer.,happiness
a faint hum of anticipation filled the quiet morning air.,excitement
"suddenly, the crowd erupted into cheers around me tonight.",excitement
i don't like the feeling of sweat on my skin.,disgust
seeing her walk down the aisle was utterly magical.,happiness
i have no idea what's going on with him anymore.,confusion
i'm really happy that stress is fading away.,relief
"i'm speechless, don't even know what to say.",surprise
"today has been kind of stressful so far, ugh.",anxiety
"i'm craving some company tonight, that's for sure.",loneliness
i'm really frustrated with this traffic jam again today.,anger
i'm thinking tomorrow will be a bit more relaxed.,hope
being around my loved ones makes me happy instantly.,love
i'm thinking positive about my job interview tomorrow.,hope
i feel totally defeated by this news today.,disappointment
i'm so humiliated after that presentation,embarrassment
my computer is driving me crazy today somehow,frustration
"my plans got cancelled, kinda bummed about that.",disappointment
.i've had it with people walking slowly everywhere why?!,frustration
"this person makes my day, every single time.",love
uh oh my flight got delayed by three hours now,surprise
it's finally time for our family road trip adventure.,excitement
"my mood is improving, so that's a good sign.",hope
driving in heavy traffic freaks me out a bit.,fear
i finally got the news i've been waiting for.,relief
he's been spending too much time with his coworker lately.,jealousy
the thought of it makes me kinda queasy.,disgust
i regret eating the last slice of pizza sorry.,guilt
glad that meeting didn't go as badly planned.,relief
"i'm beyond disappointed in the outcome, honestly.",disappointment
this new puppy makes me feel extremely joyful again.,happiness
can't shake off this uneasy feeling in my stomach,anxiety
my social battery is running really low lately.,loneliness
why does everyone like her posts more than mine?,jealousy
i'm so done with today already feels awful,sadness
"i feel so comfortable around you, it's great.",love
i'm really glad i don't have to work tomorrow morning.,relief
"that's actually kind of cool, didn't see it coming.",surprise
5 i didn't expect to like this movie as much.,surprise
i wish i could take back what i did.,guilt
i had higher hopes for tonight's event honestly.,sadness
i'm proud of how far my business has come already.,pride
i'm feeling super optimistic about my life right now somehow.,hope
"finally finished my project on time, what a weight off.",relief
"my day hasn't been great so far, sadly.",disappointment
i just saw an old friend at the store.,surprise
i have strong feelings for someone right now.,love
i just saw my old friend on the street wow.,surprise
this situation is making my head spin honestly.,confusion
my mom's cooking always hits the spot exactly.,gratitude
"my lunch was just okay, not my fave today.",disgust
i'm trying to stay positive and see what happens next,hope
i'm shocked at how fast time is flying by.,surprise
this plot twist is insane didn't see it coming!,surprise
i'm getting a bit worried about my exam tomorrow.,fear
i'm getting a bit stressed about this deadline.,anxiety
i'm trying to stay positive despite all the stress,hope
i am literally lost in thought today no joke...,confusion
i'm glad i got that conversation out of way,relief
this meeting is dragging on for too long.,frustration
i wish someone was here to hang out with.,loneliness
my day just went from bad to worse instantly.,anger
"my team just won the championship, we did it!",pride
everything's definitely falling into place for my big launch.,happiness
"suddenly, the sound of drums echoed through our quiet village.",excitement
my mistake just caused a huge delay today.,guilt
this is definitely one of my most epic fails,embarrassment
my future looks so bright right now honestly.,hope
hopefully my package arrives on time today fingers crossed.,hope
my socks smell kinda bad right now.,disgust
tonight's concert tickets just arrived at my doorstep unexpectedly!,excitement
i'm not sure what time the movie starts tonight,confusion
felt happiness when i saw my niece's big smile.,happiness
the crowd's cheers swelled as fireworks lit up downtown.,excitement
my dancing skills are seriously lacking tonight guys.,embarrassment
i'm kinda grossed out by that smell outside.,disgust
i'm somewhat concerned about what others will think too.,fear
i feel terrible about what i said to him.,guilt
i'm literally fuming about what just happened today.,anger
i feel grateful for my cozy little apartment.,gratitude
"just got an a on that tough exam, yay me.",pride
can't believe he did that to me again.,anger
my presentation went better than expected today.,pride
i'm feeling a bit lonely tonight for some reason,loneliness
just realized i forgot my phone at home today.,surprise
i feel overwhelmed by all these tasks due soon.,anxiety
my best friend is hanging out with someone new.,jealousy
everything about her wedding day was truly unforgettable magic.,happiness
i'm glad we were able to reschedule for later,relief
this stupid coffee machine won't work again.,anger
my day started off on the wrong foot.,disappointment
today's surprise party was quite the wonderful shock.,happiness
feeling rather overwhelmed after this long week already.,happiness
"everything is rather lovely today, isn't it?",happiness
this project is taking way longer than expected too.,disappointment
"my day has been pretty underwhelming so far, honestly.",disappointment
i'm slightly disappointed in how my project turned out.,disappointment
why does my computer always freeze on me?!,frustration
"all my plans fell apart, i'm beyond frustrated right now.",disappointment
seeing them together makes me want to cry.,jealousy
got my favorite coffee this morning,relief
i'm really hoping this new treatment works for me.,hope
.i feel like i'm losing control of my life slowly.,anxiety
this homework is pissing me off right now.,anger
"that movie was a total letdown, imo",disappointment
my grades are looking way better than last semester.,pride
i have such strong feelings for her it's crazy,love
i'm just glad everything worked out in the end,gratitude
"it's weird how lonely sundays can be sometimes, right?",loneliness
"suddenly, the crowd erupted as fireworks illuminated the stadium.",excitement
freshly brewed coffee was finally within my eager grasp.,excitement
i'm still trying to live down this embarrassing photo online,embarrassment
feeling pretty silly for forgetting my phone charger.,embarrassment
i feel a bit uneasy about this upcoming presentation.,anxiety
today has been a total waste of time,disappointment
"this food is disgusting, i won't eat it.",disgust
my phone's been acting up all morning long.,frustration
her infectious laughter was totally mesmerizing to everyone around.,happiness
feeling so frustrated with myself right now,disappointment
my mind is racing and i need a break.,anxiety
everything is going very smoothly for a change today.,happiness
my mind is racing with all these thoughts tonight somehow.,anxiety
i'm worried that i'll forget something important today,anxiety
maybe this week will be more chill for me.,hope
"that meeting could've gone way worse, thankfully.",relief
i'm frustrated with how this project is going.,frustration
i feel kinda worried about my health lately.,fear
my heart is racing just thinking about it honestly,anxiety
i'm thankful for this warm and cozy bed tonight.,gratitude
i think everything will work out in the end.,hope
every fiber of my being screams with unbridled anticipation.,excitement
i feel so lucky to have found someone like you.,love
i just tripped in front of everyone lol.,embarrassment
my trash can smells so bad it's making me gag.,disgust
"ugh, my sister ate the last slice of pizza again.",disgust
i'm beyond frustrated with my situation right now,disappointment
"i'm missing home a lot lately, it's hard.",sadness
my outfit is so not what i intended.,embarrassment
my lunch was pretty disgusting today honestly.,disgust
the new restaurant in town is surprisingly good food.,surprise
this new video game is harder than i thought!,surprise
today has been really hectic so far for me.,anxiety
i'm feeling pretty homesick at the moment,sadness
my favorite restaurant is closed today somehow,disappointment
